"sep=,"
"received_message","pattern_matching","reply_message","multiple_replies","multiple_reply_delay","multiple_reply_delay_max","recipients","contacts","ignored_contacts","reply_delay","reply_delay_max","specific_times","monday","tuesday","wednesday","thursday","friday","saturday","sunday","pause_type","pause_value","disabled","subrule_of","go_to_rule","req_screen_off","req_charging","req_silent","req_do_not_disturb","req_car_mode","prev_rule_timeout","priority_alert","probability","package_names"
"#anime boruto","none","Judul: Boruto Japanese: BORUTO -NARUTO NEXT GENERATIONS\n\n- Skor: 6.15 \n\nProduser: TV Tokyo, Aniplex,Rakuonsha, Shueisha \n\nTipe: TV Status: Ongoing Total \n\nEpisode: ? \n\nDurasi: 23 Menit Tanggal \n\nRilis: Apr 5, 2017\n\n Studio: Studio Pierrot \n\nGenre: Action, Adventure, Martial Arts, Shounen\n\nLink:\n*https://otakudesu.tv/anime/borto-sub-indo/*","single","","","b","","","","","0","","","","","","","","seconds","0","0","","",,,,,,,,,
"#anime akudama","none","📢*Akudama Drive*\n\nLink:\n*https://otakudesu.tv/anime/akuda-drive-sub-indo/*","single","","","b","","","","","0","","","","","","","","seconds","0","0","","",,,,,,,,,
"#anime noblesse","none","📢 *Noblesse*\n\nLink:\n*https://otakudesu.tv/anime/noblese-sub-indo/*","single","","","b","","","","","0","","","","","","","","seconds","0","0","","",,,,,,,,,
"#anime aot","none","📢 *Atack on Titan s4*\n\nLink:\n*https://anoboy.tube/2020/12/shingeki-no-kyojin-the-final-season-episode-1/*","single","","","b","","","","","0","","","","","","","","seconds","0","0","","",,,,,,,,,
"#anime kimisen","none","📢 *Kimisen*\n\nLink:\n*https://otakudesu.tv/anime/kimi-boku-saigo-senjou-sub-indo/*","single","","","b","","","","","0","","","","","","","","seconds","0","0","","",,,,,,,,,
"#anime dragon quest","none","📢 *Dragon Quest*\n\nLink:\n*https://otakudesu.tv/anime/dragon-the-quest-sub-indo/*","single","","","b","","","","","0","","","","","","","","seconds","0","0","","",,,,,,,,,
"#anime adachi to shimamura,#anime adachi","none","📢 *Adachi To Shimamura*\n\nLink:\n*https://otakudesu.tv/anime/adachi-shimamura-sub-indo/*","single","","","b","","","","","0","","","","","","","","seconds","0","0","","",,,,,,,,,
"#anime hiroya","none","📢 *Hiroya*\n\nLink:\n*https://otakudesu.tv/anime/hiroya-sub-indo/*","single","","","b","","","","","0","","","","","","","","seconds","0","0","","",,,,,,,,,
"#anime random","none","📢 *Kimisen*\n\nLink:\n*https://otakudesu.tv/anime/kimi-boku-saigo-senjou-sub-indo/*<#>📢 *Jujutsu Kaisen*\n\nLink:\n*https://otakudesu.tv/anime/jutsu-kaisen-sub-indo/*<#>📢 *Adachi To Shimamura*\n\nLink:\n*https://otakudesu.tv/anime/adachi-shimamura-sub-indo/*<#>📢 *Kuma Kuma Kuma Bear*\n\nLink:\n*https://otakudesu.tv/anime/kuma-bear-sub-indo/*<#>📢 *Hiroya*\n\nLink:\n*https://otakudesu.tv/anime/hiroya-sub-indo/*<#>📢 *Back Arrow*\n\nLink:\n*https://otakudesu.tv/anime/back-arr-sub-indo/*<#>📢 *The Hidden Dungeon Only*\n\nLink:\n*https://otakudesu.tv/anime/ore-dake-kakushi-dungeon-sub-indo/*<#>📢 *Dragon Quest*\n\nLink:\n*https://otakudesu.tv/anime/dragon-the-quest-sub-indo/*<#>📢 *Atack on Titan s4*\n\nLink:\n*https://anoboy.tube/2020/12/shingeki-no-kyojin-the-final-season-episode-1/*<#>📢 *Boruto-Naruto next generation*\n\nLink:\n*https://otakudesu.tv/anime/borto-sub-indo/*","random","","","b","","","","","0","","","","","","","","seconds","0","0","","",,,,,,,,,
"#apkinfo","none","```BERIKUT ADALAH REKOMENDASI APLIKASI YANG ADA DI FITUR TWNTYSVN BOT```\n\n\nAplikasi segala edit\n➸ Kinemaster\n➸ Alight motion\n\nAplikasi PMV/AMV\n➸ Kinemaster\n➸ Alight motion\n➸ Capcut\n➸ vn\n\nAplikasi jedag jedug\n➸ Alight motion\n➸ Avee player\n➸ Capcut\n\nAplikasi quotes dan logo\n➸ Pixellab\n➸ PicsArt\n➸ Picsay\n\nAplikasi line art\n➸ Infinite design\n➸ PicsArt\n➸ Picsay\n➸ Ibis paint x «bisa buat anime»\n\nAplikasi edit untuk foto\n➸ B612 «buat cewe»\n➸ Lightroom\n➸ Adobe Photoshop\n\nAplikasi pelengkap\n➸ Inshot\n\nand other.\n\n*Aplikasi yang sering digunakan*\n\n➸ Kinemaster\n➸ Alight motion\n➸ Infinite design\n➸ Ibis paint x\n➸ Pixellab\n➸ Capcut\n➸ Vn\n    \nand other.\n\n*Karya yang sering dibuat*\n\nCCP\nPMV\nGMV\nAMV\nLiterasi\nJedag jedug:v\nCinematik\nManga <gambar>\nQuotes\nTime reemap\nAnime <gambar>\nDubstep\nLyric maker\nDan masih banyak lagi...\n\nFitur lainnya akan tersedia dimasa mendatang!\n\nTerima kasih telah menggunakan TWNTYSVN BOT.💓","single","","","b","","","","","0","","","","","","","","seconds","0","0","","",,,,,,,,,
"#apkmod","none","*BERIKUT ADALAH APLIKASI YANG ADA DI FITUR BOT GEMBUL*\n\n```Link•download•apk•khusus•buat•editor```\n\n```~1.Kine masters x-pro √\nhttps://www.mediafire.com/file/fei1tlzv1zmjlri/KM_X-Pro_Red%25284.11.16.14370.XP%2529.apk/file```\n\n```~2.Kine master diamond √\nhttps://www.mediafire.com/download/9p8wsnwupnq0lun```\n\n```~3.Kine master premium √\nhttps://www.mediafire.com/download/eshb8rra8eg5xa3```\n\n```~4.Kine master Ruby √\nhttps://www.mediafire.com/download/6b2wa08cmtsr8x8```\n\n```~5. Link Adobe Photoshop Touch √\nhttps://www.mediafire.com/download/whfh12tj4zjpedp```\n\n```~6.Inshot Pro √\nhttps://www.mediafire.com/download/7qcmrfdy2o1ynxf```\n\n```~7.90s pro √\nhttps://www.mediafire.com/download/0y2bba69f6wakuh```\n\n```~8. Link WavePad Pro √\nhttps://www.mediafire.com/download/oif50qb8ltdoe2x```\n\n```~9.Vimage premium √\nhttps://www.mediafire.com/download/egjumopr2wl89tl```\n\n```~10.Avee Palayer Premium √\nhttps://www.mediafire.com/download/5vkde8d1gcyk33y```\n\n```~11.Pixxelab Premium √\nhttps://www.mediafire.com/download/kxj0xyvrkc8w6h0```\n\n\nOther↓↓↓\nFONT PIXELLAB <semua font 1kali download>\n\nYT:https://youtu.be/lrVof_pe-lA\nPW:fontapritotalitas\n\nKINEMASTER MOD <support semua hp>\n\nYT:Yovi Gamers\nPW:jangan lupa subscribe dan like\n\nALIGHT MOTION PRO MOD\n\nYT:https://youtu.be/qxqV8sl8PYQ\nPw: <no password>\nDan masih banyak lagi...\n\nFitur lainnya akan tersedia dimasa mendatang!\n\nTerima kasih telah menggunakan BOT Gembul.💓","single","","","b","","","","","0","","","","","","","","seconds","0","0","","",,,,,,,,,
